srno,sequence,eventId,name,description,state,year,start_date,season_type,end_date,academic_year,academicYrId,revaluation_for_exam Season,previous_exam_season,exam_form_filling_stage,exam_from_applicable_subject_type,type,applyForSeason,applyForType,exam_form_fee_type,redressal_form_fee_type,redressal_stage,code,created_at,deleted_at,updated_at,created_by,updated_by,deleted_by
11,26,7,Migration Backlog Supplementary Exam Season 2018,Migration Backlog Supplementary Exam Season 2018,Completed,2018,11/3/2018,Makeup Exam Season,11/19/2018,2018 - 2019,2,,,-,Any backlog subjects only,Mig,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
12,4,1,Supplementary Winter Semester Exam 2018(BTech),Supplementary Winter Semester Exam 2018(BTech),Completed,2018,11/15/2018,Makeup Exam Season,12/7/2018,2017 - 2018,1,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
13,23,1,Supplementary Winter Semester Exam 2018(BArch),Supplementary Winter Semester Exam 2018(BArch),Completed,2018,12/3/2018,Backlog Exam Season,12/30/2018,2018 - 2019,2,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
14,24,1,Supplementary Winter Semester Exam 2018(Pharmacy),Supplementary Winter Semester Exam 2018(Pharmacy),Completed,2018,12/12/2018,Makeup Exam Season,12/31/2018,2018 - 2019,2,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
15,25,1,Supplementary Winter Semester Exam 2018(MTech),Supplementary Winter Semester Exam 2018(MTech),Completed,2018,12/14/2018,Makeup Exam Season,12/31/2018,2018 - 2019,2,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
16,10,2,Winter Semester Exam 2018,Winter Semester Exam 2018,Completed,2018,3/8/2019,Odd Semester Exam Season,2/9/2019,2018 - 2019,2,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,-,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
17,20,2,Remedial Examination Winter 2018,Winter remedial exam 2018,Completed,2018,3/26/2019,Remedial Exam Season,4/1/2019,2018 - 2019,2,,Winter Semester Exam 2018 / Completed / Odd Semester Exam Season / 2019-03-08,Completed,Odd program backlog only,Rem,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
18,17,2,Winter 2018 Sem V B Tech (DBATU main campus only),Winter 2018 Sem V B Tech (DBATU main campus only),Completed,2018,4/3/2019,Odd Semester Exam Season,5/16/2019,2018 - 2019,2,,,Completed,Fresh subjets only,Reg,NULL,NULL,Free,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
19,50,2,Supplementary Summer Semester Exam 2019(Diploma),Supplementary Summer Semester Exam 2019(Diploma),Completed,2018,4/15/2019,Backlog Exam Season,5/15/2019,2018 - 2019,2,,,Completed,Even program backlog only,Sup,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
20,41,8,Summer Semester Examinations 2019(Diploma),Summer Semester Examinations 2019(Diploma),Completed,2018,4/18/2019,Even Semester Exam Season,5/30/2019,2018 - 2019,2,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
21,42,8,Summer Semester Examination 2019(BVoc and PharmD),Summer Semester Examination 2019(BVoc and PharmD),Completed,2018,4/20/2019,Even Semester Exam Season,5/20/2019,2018 - 2019,2,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
22,21,2,Remedial Winter 2018 Sem V B Tech (DBATU main campus only),Remedial Winter 2018 Sem V B Tech (DBATU main campus only),Completed,2018,4/30/2019,Remedial Exam Season,5/23/2019,2018 - 2019,2,,Winter 2018 Sem V B Tech (DBATU main campus only) / Completed / Odd Semester Exam Season / 2019-04-03,Completed,Odd program backlog only,Rem,NULL,NULL,Free,,-,,NULL,NULL,NULL,NULL,NULL,NULL
23,28,2,Revaluation Supplementary Winter Semester Exam 2018(MTech),Revaluation Supplementary Winter Semester Exam 2018(MTech),Completed,2018,5/13/2019,Revaluation Exam Season,5/30/2019,2018 - 2019,2,Supplementary Winter Semester Exam 2018(MTech) / Completed / Makeup Exam Season / 2018-12-14,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
24,29,2,Revaluation Supplementary Winter Semester Exam 2018(MArch),Revaluation Supplementary Winter Semester Exam 2018(MArch),Completed,2018,5/13/2019,Revaluation Exam Season,5/31/2019,2018 - 2019,2,Supplementary Winter Semester Exam 2018(MArch) / Completed / Makeup Exam Season / 2018-10-16,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
25,30,2,Revaluation Supplementary Winter Semester Exam 2018(Pharmacy),Revaluation Supplementary Winter Semester Exam 2018(Pharmacy),Completed,2018,5/13/2019,Revaluation Exam Season,5/31/2019,2018 - 2019,2,Supplementary Winter Semester Exam 2018(Pharmacy) / Completed / Makeup Exam Season / 2018-12-12,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
26,31,2,Revaluation Supplementary Winter Semester Exam 2018(BArch),Revaluation Supplementary Winter Semester Exam 2018(BArch),Completed,2018,5/13/2019,Revaluation Exam Season,5/31/2019,2018 - 2019,2,Supplementary Winter Semester Exam 2018(BArch) / Completed / Backlog Exam Season / 2018-12-03,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
27,16,2,Revaluation Winter Semester Exam 2018,Revaluation Winter Semester Exam 2018,Completed,2018,5/13/2019,Revaluation Exam Season,6/5/2019,2017 - 2018,2,Winter Semester Exam 2018 / Completed / Odd Semester Exam Season / 2019-03-08,,Completed,Odd program backlog only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
28,32,2,Revaluation Supplementary Winter Semester Exam 2018(BTech),Revaluation Supplementary Winter Semester Exam 2018(BTech),Completed,2018,5/13/2019,Revaluation Exam Season,5/31/2019,2018 - 2019,2,Supplementary Winter Semester Exam 2018(BTech) / Completed / Makeup Exam Season / 2018-11-15,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
29,18,2,Revaluation Winter 2018 Sem V B Tech (DBATU main campus only),Revaluation Winter 2018 Sem V B Tech (DBATU main campus only),Completed,2018,5/14/2019,Revaluation Exam Season,5/31/2019,2018 - 2019,2,Winter 2018 Sem V B Tech (DBATU main campus only) / Completed / Odd Semester Exam Season / 2019-04-03,,Completed,Fresh subjets only,Rev,NULL,NULL,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
30,49,8,Supplementary End Semester Examination Summer 2019,Supplementary End Semester Examination Summer 2019,Completed,2018,5/14/2019,Backlog Exam Season,5/31/2019,2018 - 2019,2,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
31,39,8,Summer Semester Examinations 2019,Summer Semester Examinations 2019,Completed,2018,5/17/2019,Even Semester Exam Season,6/6/2019,2018 - 2019,2,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,-,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
32,43,8,Re registration B Arch Summer 2019,Re registration B Arch Summer 2019,Completed,2018,5/22/2019,Backlog Exam Season,7/31/2019,2018 - 2019,2,,,Active,Any backlog subjects only,ReReg,NULL,NULL,Free,,-,,NULL,NULL,NULL,NULL,NULL,NULL
33,40,8,Summer 2019 Sem VI B Tech (DBATU main campus only),Summer 2019 Sem VI B Tech (DBATU main campus only),Completed,2018,5/30/2019,Even Semester Exam Season,6/30/2019,2018 - 2019,2,,,Completed,Fresh subjets only,Reg,NULL,NULL,Free,,-,,NULL,NULL,NULL,NULL,NULL,NULL
34,48,8,Remedial Summer 2019 (Diploma),Remedial Summer 2019 (Diploma),Completed,2018,7/1/2019,Remedial Exam Season,7/16/2019,2018 - 2019,2,,,Completed,Even program backlog only,Rem,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
35,45,8,Revaluation Summer 2019 Sem VI B Tech (DBATU main campus only),Revaluation Summer 2019 Sem VI B Tech (DBATU main campus only),Completed,2018,7/31/2019,Revaluation Exam Season,8/9/2019,2018 - 2019,2,Summer 2019 Sem VI B Tech (DBATU main campus only) / Completed / Even Semester Exam Season / 2019-05-30,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
36,47,8,Remedial Examination Summer 2019,Remedial Examination Summer 2019,Completed,2018,8/22/2019,Remedial Exam Season,8/26/2019,2018 - 2019,2,,,Completed,Even program backlog only,Rem,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
37,44,8,Revaluation Summer Semester Examinations 2019,Revaluation Summer Semester Examinations 2019,Completed,2018,8/25/2019,Revaluation Exam Season,8/31/2019,2018 - 2019,2,Summer Semester Examinations 2019 / Completed / Even Semester Exam Season / 2019-05-17,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
38,51,8,Revaluation Supplementary End Semester Examination Summer 2019,Revaluation Supplementary End Semester Examination Summer 2019,Completed,2018,8/26/2019,Revaluation Exam Season,8/31/2019,2018 - 2019,2,Supplementary End Semester Examination Summer 2019 / Completed / Backlog Exam Season / 2019-05-14,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
39,66,8,2019 Migrated Student Exams season,2019 Migrated Student Exams season,Completed,2019,9/24/2019,Other,9/30/2019,2019 - 2020,3,,,Completed,Any backlog subjects only,Mig,NULL,NULL,-,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
40,61,2,Supplementary Winter Semester Examinations 2019(Diploma),Supplementary Winter Semester Examinations 2019(Diploma),Completed,2019,9/25/2019,Backlog Exam Season,11/7/2019,2019 - 2020,3,,,Completed,Odd program backlog only,Sup,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
41,60,2,Supplementary Winter Semester Examinations 2019,Supplementary Winter Semester Examinations 2019,Completed,2019,9/25/2019,Backlog Exam Season,10/25/2019,2019 - 2020,3,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,Paid,-,,NULL,NULL,NULL,NULL,NULL,NULL
42,57,3,Winter Semester Examinations 2019,Winter Semester Examinations 2019,Completed,2019,9/26/2019,Odd Semester Exam Season,3/16/2020,2019 - 2020,3,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,Paid,-,,NULL,NULL,NULL,NULL,NULL,NULL
43,46,8,Revaluation - Summer Semester Examination 2019(BVoc and PharmD),Revaluation - Summer Semester Examination 2019(BVoc and PharmD),Completed,2019,10/16/2019,Revaluation Exam Season,11/13/2019,2018 - 2019,2,Summer Semester Examination 2019(BVoc and PharmD) / Completed / Even Semester Exam Season / 2019-04-20,,-,Any backlog subjects only,Rev,NULL,NULL,-,,-,,NULL,NULL,NULL,NULL,NULL,NULL
44,59,3,Remedial Examination Winter 2019,Remedial Examination Winter 2019,Completed,2019,2/13/2020,Remedial Exam Season,2/25/2020,2019 - 2020,3,,Winter Semester Examinations 2019 / Completed / Odd Semester Exam Season / 2019-09-26,Completed,Odd program backlog only,Rem,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
45,62,3,Revaluation Supplementary Winter Semester Exam 2019,Revaluation Supplementary Winter Semester Exam 2019,Completed,2019,2/18/2020,Revaluation Exam Season,3/25/2020,2019 - 2020,3,Supplementary Winter Semester Examinations 2019 / Completed / Backlog Exam Season / 2019-09-25,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
46,58,3,Revaluation Winter Semester Examinations 2019,Revaluation Winter Semester Examinations 2019,Completed,2019,2/24/2020,Revaluation Exam Season,2/25/2020,2019 - 2020,3,Winter Semester Examinations 2019 / Completed / Odd Semester Exam Season / 2019-09-26,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
47,65,3,Supplementary Summer Semester Examinations 2020,Supplementary Summer Semester Examinations 2020,Completed,2019,6/1/2020,Makeup Exam Season,12/22/2020,2019 - 2020,3,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Free,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
48,64,9,Re-registration Summer Semester Examinations 2020(Diploma),Re-registration Summer Semester Examinations 2020(Diploma),Completed,2019,6/1/2020,Backlog Exam Season,10/31/2020,2019 - 2020,3,,,Completed,Even program backlog only,ReReg,NULL,NULL,Free,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
49,63,9,Summer Semester Examinations 2020,Summer Semester Examinations 2020,Completed,2019,6/2/2020,Even Semester Exam Season,6/6/2020,2019 - 2020,3,,,Completed,Fresh subjets only,Reg,NULL,NULL,Free,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
50,79,9,2020 Migrated Student Exams season,2020 Migrated Student Exams season,Completed,2020,12/1/2020,Other,3/31/2021,2020 - 2021,4,,,-,Any backlog subjects only,Mig,NULL,NULL,-,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
51,74,3,Supplementary Winter Semester Examinations 2020,Supplementary Winter Semester Examinations 2020,Completed,2020,12/11/2020,Makeup Exam Season,3/31/2021,2020 - 2021,4,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
52,73,3,Re-registration Winter Semester Examinations 2020(Diploma),Re-registration Winter Semester Examinations 2020(Diploma),Completed,2020,3/5/2021,Backlog Exam Season,3/12/2021,2020 - 2021,4,,,Active,Odd program backlog only,ReReg,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
53,71,4,Winter Semester Examinations 2020,Winter Semester Examinations 2020,Completed,2020,3/15/2021,Odd Semester Exam Season,3/25/2021,2020 - 2021,4,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
54,80,4,Supplimentary Summer Semester Examinations 2021,Supplimentary Summer Semester Examinations 2021,Completed,2020,3/26/2021,Backlog Exam Season,9/9/2021,2020 - 2021,4,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
55,75,10,Summer Semester Examinations 2021,Summer Semester Examinations 2021,Completed,2020,4/5/2021,Even Semester Exam Season,7/7/2021,2020 - 2021,4,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
56,77,10,Re-registration Summer Semester Examinations 2021(Diploma),Re-registration Summer Semester Examinations 2021(Diploma),Completed,2020,8/3/2021,Backlog Exam Season,8/31/2021,2020 - 2021,4,,,Completed,Even program backlog only,ReReg,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
57,72,4,Winter Semester Examinations 2020_IUMS,Winter Semester Examinations 2020_IUMS,Completed,2020,10/1/2021,Odd Semester Exam Season,4/30/2022,2020 - 2021,4,,,Completed,Fresh subjets only,Reg,NULL,NULL,Free,-,-,Code,NULL,NULL,NULL,NULL,NULL,NULL
58,76,10,Summer Semester Examinations 2021_IUMS,Summer Semester Examinations 2021_IUMS,Completed,2020,10/15/2021,Even Semester Exam Season,4/30/2022,2020 - 2021,4,,,Completed,Fresh subjets only,Reg,NULL,NULL,Free,-,-,Code,NULL,NULL,NULL,NULL,NULL,NULL
59,78,10,Remedial Summer 2021 (Diploma),Summer Semester 2021 (Diploma),Completed,2020,10/27/2021,Remedial Exam Season,1/11/2022,2020 - 2021,4,,Summer Semester Examinations 2021 / Completed / Even Semester Exam Season / 2021-04-05,Completed,Even program backlog only,Rem,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
60,87,4,Re-registration Winter Semester Examinations 2021(Diploma),Re-registration Winter Semester Examinations 2021(Diploma),Completed,2021,10/27/2021,Backlog Exam Season,7/15/2022,2021 - 2022,5,,,Completed,Odd program backlog only,ReReg,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
61,88,4,Supplementary Winter Semester Examinations 2021,Supplementary Winter Semester Examinations 2021,Completed,2021,10/27/2021,Makeup Exam Season,1/10/2022,2021 - 2022,5,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
62,85,5,Winter Semester Examinations 2021,Winter Semester Examinations 2021,Completed,2021,10/28/2021,Odd Semester Exam Season,4/30/2022,2021 - 2022,5,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
63,95,5,2021 Migrated Student Exams season,2021 Migrated Student Exams season,Completed,2021,1/18/2022,Other,4/13/2022,2021 - 2022,5,,,-,Any backlog subjects only,Mig,NULL,NULL,-,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
64,94,5,Supplimentary Summer Semester Examinations 2022,Supplimentary Summer Semester Examinations 2022,Completed,2021,5/23/2022,Backlog Exam Season,5/29/2022,2021 - 2022,5,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
65,89,11,Summer Semester Examinations 2022,Summer Semester Examinations 2022,Completed,2021,5/24/2022,Even Semester Exam Season,5/29/2022,2021 - 2022,5,,,Active,Fresh subjets only,Reg,NULL,NULL,Paid,Paid,Revaluation,0,NULL,NULL,NULL,NULL,NULL,NULL
66,93,11,Re-registration Summer Semester Examinations 2022(Diploma),Re-registration Summer Semester Examinations 2022(Diploma),Completed,2021,7/1/2022,Backlog Exam Season,7/15/2022,2021 - 2022,5,,,Completed,Even program backlog only,ReReg,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
67,92,11,Remedial Summer 2022 (Diploma),Remedial Summer 2022 (Diploma),Completed,2021,8/19/2022,Remedial Exam Season,9/30/2022,2021 - 2022,5,,Summer Semester Examinations 2022 / Active / Even Semester Exam Season / 2022-05-24,Active,Even program backlog only,Rem,NULL,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
68,91,11,Remedial Summer Semester Examinations 2022,Remedial Summer Semester Examinations 2022,Completed,2021,9/13/2022,Remedial Exam Season,11/5/2022,2021 - 2022,5,,,Active,Even program backlog only,Rem,NULL,NULL,Paid,-,-,2022,NULL,NULL,NULL,NULL,NULL,NULL
69,90,11,Revaluation Summer Semester Examinations 2022,Revaluation Summer Semester Examinations 2022,Completed,2021,9/21/2022,Revaluation Exam Season,10/5/2022,2021 - 2022,5,Summer Semester Examinations 2022 / Active / Even Semester Exam Season / 2022-05-24,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,-,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
70,100,6,Winter Semester Examinations 2022,Winter Semester Examinations 2022,Active,2022,11/1/2022,Odd Semester Exam Season,10/2/2022,2022 - 2023,6,,,Active,Fresh subjets only,Reg,Winter,NULL,-,,,,NULL,NULL,NULL,NULL,NULL,NULL
71,101,6,Revaluation - Winter Semester Examinations 2022,Revaluation - Winter Semester Examinations 2022,Active,2022,3/1/2022,Revaluation Exam Season,4/15/2022,2022 - 2023,6,Winter Semester Examinations 2022 / Completed / Odd Semester Exam Season / 2022-09-25,,,Any backlog subjects only,Rev,Winter,Reg,Paid,,Photocopy,,NULL,NULL,NULL,NULL,NULL,NULL
72,102,6,Remedial Winter - 2022-23,Remedial Winter - 2022-23,Active,2022,3/9/2022,Remedial Exam Season,4/9/2022,2022 - 2023,6,,Winter Semester Examinations 2022 / Completed / Odd Semester Exam Season / 2022-09-25,Active,Odd program backlog only,Rem,Winter,Reg,Paid,,,,NULL,NULL,NULL,NULL,NULL,NULL
73,105,6,Supplementary/Backlog Winter Semester Examinations 2022,Supplementary Winter Semester Examinations 2022,Active,2022,4/25/2022,Backlog Exam Season,5/24/2022,2022 - 2023,6,,,,Odd program backlog only,Sup,Winter,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
74,107,12,Summer Semester Examinations 2023,Summer Semester Examinations 2023,Active,2022,5/1/2023,Even Semester Exam Season,5/5/2023,2022 - 2023,6,,,Active,Fresh subjets only,Reg,Summer,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
75,108,12,Revaluation - Summer Semester Examinations 2023,Revaluation - Summer Semester Examinations 2023,Active,2022,5/2/2023,Revaluation Exam Season,5/12/2023,2022 - 2023,6,Summer Semester Examinations 2018 / Completed / Even Semester Exam Season / 2023-05-26,,Active,Any backlog subjects only,Rev,Summer,Reg,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
76,109,12,Remedial Summer - 2022-23,Remedial Summer - 2022-23,Active,2022,5/1/2023,Remedial Exam Season,5/4/2023,2022 - 2023,6,,Summer Semester Examinations 2023 / Completed / Even Semester Exam Season / 2023-04-26,Active,Even program backlog only,Rem,Summer,Reg,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
77,112,12,Supplementary/Backlog Summer Semester Examinations 2023,Supplementary Summer Semester Examinations 2023,Active,2023,5/1/2023,Backlog Exam Season,5/31/2023,2022 - 2023,6,Supplementary/Backlog Summer Semester Examinations 2018 / Completed / Backlog Exam Season / 2023-05-25,,Active,Any backlog subjects only,Sup,Summer,NULL,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
78,103,6,Re-registration Winter Semester Examinations 2022(Diploma),Re-registration Winter Semester Examinations 2022(Diploma),Active,2022,5/1/2023,Re-registration Exam Season,5/31/2023,2022 - 2023,6,,,Active,Odd program backlog only,ReReg,Winter,NULL,Free,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
79,106,6,Revaluation - Supplementary/Backlog Winter Semester Examinations 2022,Revaluation - Supplementary Winter Semester Examinations 2022,Active,2022,6/21/2023,Revaluation Exam Season,6/22/2023,2022 - 2023,6,Supplementary/Backlog Winter Semester Examinations 2022 / Completed / Backlog Exam Season / 2023-06-21,,Active,Any backlog subjects only,Rev,Winter,Sup,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
80,110,12,Re-registration Summer Semester Examinations 2023(Diploma),Re-registration Summer Semester Examinations 2023(Diploma),Active,2023,5/1/2023,Re-registration Exam Season,5/31/2023,2022 - 2023,6,,,Active,Even program backlog only,ReReg,Summer,NULL,Paid,-,-,,NULL,NULL,NULL,NULL,NULL,NULL
81,113,12,Revaluation - Supplementary/Backlog Summer Semester Examinations 2023,Revaluation - Supplementary Summer Semester Examinations 2023,Active,2023,6/21/2023,Revaluation Exam Season,6/22/2023,2022 - 2023,6,Supplementary/Backlog Summer Semester Examinations 2023 / Completed / Backlog Exam Season / 2023-06-21,,Active,Any backlog subjects only,Rev,Summer,Sup,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
82,119,13,Winter Semester Examinations 2023,Winter Semester Examinations 2023,Active,2023,8/1/2023,Odd Semester Exam Season,1/2/2024,2023 - 2024,7,,,Active,Fresh subjets only,Reg,Winter,NULL,-,,,,NULL,NULL,NULL,NULL,NULL,NULL
83,104,6,Remedial Re-registration Winter 2022 (Diploma),Remedial Re-registration Winter 2022 (Diploma),Active,2022,3/9/2022,Remedial Exam Season,4/9/2022,2022 - 2023,6,,Winter Semester Examinations 2022 / Active / Even Semester Exam Season / 2022-05-24,Active,Odd program backlog only,Rem,Winter,ReReg,Paid,,,,NULL,NULL,NULL,NULL,NULL,NULL
